canonical_rule_id,rule_id,dataset_version,model_family,model,step1_mode,source_run_dir,acc,ci_lo,ci_hi,n_contexts,n_items,parse_fail_rate,is_changed_rule,expected_rebuild_outcome,observed_delta_vs_original,observed_outcome_label
all_words_longer_than_3,all_words_longer_than_3_deconfounded,deconfounded,open_weights,Qwen2.5-7B-Instruct,full,results/deconfound-sweep/qwen-step1-20260614T171204Z,0.5527777777777777,0.501128323264124,0.6033127707309583,3,360,0.0,True,HOLD/moderate with measured short-token residual.,,
all_words_longer_than_3,all_words_longer_than_3_deconfounded,deconfounded,anthropic,claude-opus-4-8,full,results/cross_family/claude-deconfounded-step1-20260614T171204Z.jsonl,0.5625,0.5102778206389604,0.6133727515732317,3,360,0.022222222222222223,True,HOLD/moderate with measured short-token residual.,,
all_words_longer_than_3,all_words_longer_than_3_deconfounded,deconfounded,deepseek,deepseek-v4-flash,confirmation,results/deconfound-sweep/step1-confirmation-deepseek-v4-flash-20260614T165115Z,0.6233333333333334,0.5433333333333333,0.7033333333333333,3,300,0.0,True,HOLD/moderate with measured short-token residual.,,
all_words_longer_than_3,all_words_longer_than_3_deconfounded,deconfounded,deepseek,deepseek-v4-flash,full,results/deconfound-sweep/step1-full-deepseek-v4-flash-20260614T164416Z,0.5611111111111111,0.48888888888888893,0.6306249999999991,3,360,0.0,True,HOLD/moderate with measured short-token residual.,,
all_words_longer_than_3,all_words_longer_than_3_deconfounded,deconfounded,deepseek,deepseek-v4-flash,rule_given,results/deconfound-sweep/step1-rule_given-deepseek-v4-flash-20260614T165820Z,0.525,,,1,120,0.0,True,HOLD/moderate with measured short-token residual.,,
all_words_longer_than_3,all_words_longer_than_3_deconfounded,deconfounded,openai,gpt-4.1,confirmation,results/deconfound-sweep/step1-confirmation-gpt-4.1-20260614T165115Z,0.6266666666666666,0.56,0.6900000000000001,3,300,0.0,True,HOLD/moderate with measured short-token residual.,,
all_words_longer_than_3,all_words_longer_than_3_deconfounded,deconfounded,openai,gpt-4.1,full,results/deconfound-sweep/step1-full-gpt-4.1-20260614T164416Z,0.5694444444444445,0.5111111111111111,0.6305555555555555,3,360,0.0,True,HOLD/moderate with measured short-token residual.,-0.0972222222222221,MODERATE_DROP
all_words_longer_than_3,all_words_longer_than_3_deconfounded,deconfounded,openai,gpt-4.1,rule_given,results/deconfound-sweep/step1-rule_given-gpt-4.1-20260614T165820Z,0.6333333333333333,,,1,120,0.0,True,HOLD/moderate with measured short-token residual.,-0.01666666666666672,HOLD
all_words_longer_than_3,all_words_longer_than_3,original,openai,gpt-4.1,full,results/step1-full-gpt-4.1-20260611T000748Z,0.6666666666666666,0.6083333333333334,0.7222222222222223,3,360,0.0,True,HOLD/moderate with measured short-token residual.,,
all_words_longer_than_3,all_words_longer_than_3,original,openai,gpt-4.1,rule_given,results/step1-rule_given-gpt-4.1-20260611T002539Z,0.65,,,1,120,0.0,True,HOLD/moderate with measured short-token residual.,,
all_words_longer_than_3,all_words_longer_than_3_deconfounded,deconfounded,openai,gpt-4.1-mini,confirmation,results/deconfound-sweep/step1-confirmation-gpt-4.1-mini-20260614T165115Z,0.5933333333333334,0.5233333333333333,0.6600833333333321,3,300,0.0,True,HOLD/moderate with measured short-token residual.,,
all_words_longer_than_3,all_words_longer_than_3_deconfounded,deconfounded,openai,gpt-4.1-mini,full,results/deconfound-sweep/step1-full-gpt-4.1-mini-20260614T164416Z,0.5416666666666666,0.47222222222222215,0.6111111111111112,3,360,0.0,True,HOLD/moderate with measured short-token residual.,-0.019444444444444375,HOLD
all_words_longer_than_3,all_words_longer_than_3_deconfounded,deconfounded,openai,gpt-4.1-mini,rule_given,results/deconfound-sweep/step1-rule_given-gpt-4.1-mini-20260614T165819Z,0.7,,,1,120,0.0,True,HOLD/moderate with measured short-token residual.,-0.04166666666666674,HOLD
all_words_longer_than_3,all_words_longer_than_3,original,openai,gpt-4.1-mini,full,results/step1-full-gpt-4.1-mini-20260611T001640Z,0.561111111111111,0.5111111111111111,0.6138888888888888,3,360,0.0,True,HOLD/moderate with measured short-token residual.,,
all_words_longer_than_3,all_words_longer_than_3,original,openai,gpt-4.1-mini,rule_given,results/step1-rule_given-gpt-4.1-mini-20260611T002808Z,0.7416666666666667,,,1,120,0.0,True,HOLD/moderate with measured short-token residual.,,
contains_first_name,contains_first_name_deconfounded,deconfounded,open_weights,Qwen2.5-7B-Instruct,full,results/deconfound-sweep/qwen-step1-20260614T171204Z,0.6527777777777778,0.6022190573150905,0.7001104253022532,3,360,0.0,True,DROP/moderate expected because proper-token identity was a strong shortcut.,,
contains_first_name,contains_first_name_deconfounded,deconfounded,anthropic,claude-opus-4-8,full,results/cross_family/claude-deconfounded-step1-20260614T171204Z.jsonl,0.9777777777777777,0.9567691737312188,0.988697571908474,3,360,0.0,True,DROP/moderate expected because proper-token identity was a strong shortcut.,,
contains_first_name,contains_first_name_deconfounded,deconfounded,deepseek,deepseek-v4-flash,confirmation,results/deconfound-sweep/step1-confirmation-deepseek-v4-flash-20260614T165115Z,0.9433333333333334,0.91,0.9733333333333333,3,300,0.0,True,DROP/moderate expected because proper-token identity was a strong shortcut.,,
contains_first_name,contains_first_name_deconfounded,deconfounded,deepseek,deepseek-v4-flash,full,results/deconfound-sweep/step1-full-deepseek-v4-flash-20260614T164416Z,0.9444444444444443,0.9166666666666666,0.9694444444444444,3,360,0.0,True,DROP/moderate expected because proper-token identity was a strong shortcut.,,
contains_first_name,contains_first_name_deconfounded,deconfounded,deepseek,deepseek-v4-flash,rule_given,results/deconfound-sweep/step1-rule_given-deepseek-v4-flash-20260614T165820Z,1.0,,,1,120,0.0,True,DROP/moderate expected because proper-token identity was a strong shortcut.,,
contains_first_name,contains_first_name_deconfounded,deconfounded,openai,gpt-4.1,confirmation,results/deconfound-sweep/step1-confirmation-gpt-4.1-20260614T165115Z,1.0,1.0,1.0,3,300,0.0,True,DROP/moderate expected because proper-token identity was a strong shortcut.,0.013333333333333308,HOLD
contains_first_name,contains_first_name_deconfounded,deconfounded,openai,gpt-4.1,full,results/deconfound-sweep/step1-full-gpt-4.1-20260614T164416Z,0.975,0.9527777777777778,0.9916666666666667,3,360,0.0,True,DROP/moderate expected because proper-token identity was a strong shortcut.,-0.01666666666666672,HOLD
contains_first_name,contains_first_name_deconfounded,deconfounded,openai,gpt-4.1,rule_given,results/deconfound-sweep/step1-rule_given-gpt-4.1-20260614T165820Z,0.975,,,1,120,0.0,True,DROP/moderate expected because proper-token identity was a strong shortcut.,-0.008333333333333304,HOLD
contains_first_name,contains_first_name,original,openai,gpt-4.1,confirmation,results/step1-confirmation-gpt-4.1-20260611T003204Z,0.9866666666666667,0.9700000000000001,1.0,3,300,0.0,True,DROP/moderate expected because proper-token identity was a strong shortcut.,,
contains_first_name,contains_first_name,original,openai,gpt-4.1,full,results/step1-full-gpt-4.1-20260611T000748Z,0.9916666666666667,0.9777777777777779,1.0,3,360,0.0,True,DROP/moderate expected because proper-token identity was a strong shortcut.,,
contains_first_name,contains_first_name,original,openai,gpt-4.1,rule_given,results/step1-rule_given-gpt-4.1-20260611T002539Z,0.9833333333333333,,,1,120,0.0,True,DROP/moderate expected because proper-token identity was a strong shortcut.,,
contains_first_name,contains_first_name_deconfounded,deconfounded,openai,gpt-4.1-mini,confirmation,results/deconfound-sweep/step1-confirmation-gpt-4.1-mini-20260614T165115Z,0.9666666666666667,0.94,0.9899999999999999,3,300,0.0,True,DROP/moderate expected because proper-token identity was a strong shortcut.,-0.023333333333333206,HOLD
contains_first_name,contains_first_name_deconfounded,deconfounded,openai,gpt-4.1-mini,full,results/deconfound-sweep/step1-full-gpt-4.1-mini-20260614T164416Z,0.9527777777777778,0.9222222222222222,0.9805555555555556,3,360,0.0,True,DROP/moderate expected because proper-token identity was a strong shortcut.,-0.03888888888888886,HOLD
contains_first_name,contains_first_name_deconfounded,deconfounded,openai,gpt-4.1-mini,rule_given,results/deconfound-sweep/step1-rule_given-gpt-4.1-mini-20260614T165819Z,0.975,,,1,120,0.0,True,DROP/moderate expected because proper-token identity was a strong shortcut.,-0.01666666666666672,HOLD
contains_first_name,contains_first_name,original,openai,gpt-4.1-mini,confirmation,results/step1-confirmation-gpt-4.1-mini-20260611T003508Z,0.9899999999999999,0.9766666666666666,1.0,3,300,0.0,True,DROP/moderate expected because proper-token identity was a strong shortcut.,,
contains_first_name,contains_first_name,original,openai,gpt-4.1-mini,full,results/step1-full-gpt-4.1-mini-20260611T001640Z,0.9916666666666667,0.9777777777777779,1.0,3,360,0.0,True,DROP/moderate expected because proper-token identity was a strong shortcut.,,
contains_first_name,contains_first_name,original,openai,gpt-4.1-mini,rule_given,results/step1-rule_given-gpt-4.1-mini-20260611T002808Z,0.9916666666666667,,,1,120,0.0,True,DROP/moderate expected because proper-token identity was a strong shortcut.,,
even_word_count,even_word_count_deconfounded,deconfounded,open_weights,Qwen2.5-7B-Instruct,full,results/deconfound-sweep/qwen-step1-20260614T171204Z,0.5388888888888889,0.48725608214335964,0.5897005134319642,3,360,0.0,True,DROP expected; parity without CoT is hard.,,
even_word_count,even_word_count_deconfounded,deconfounded,anthropic,claude-opus-4-8,full,results/cross_family/claude-deconfounded-step1-20260614T171204Z.jsonl,0.5482866043613707,0.4935938330039953,0.601837335519082,3,360,0.10833333333333334,True,DROP expected; parity without CoT is hard.,,
even_word_count,even_word_count_deconfounded,deconfounded,deepseek,deepseek-v4-flash,confirmation,results/deconfound-sweep/step1-confirmation-deepseek-v4-flash-20260614T165115Z,0.5133333333333333,0.4466666666666666,0.58,3,300,0.0,True,DROP expected; parity without CoT is hard.,,
even_word_count,even_word_count_deconfounded,deconfounded,deepseek,deepseek-v4-flash,full,results/deconfound-sweep/step1-full-deepseek-v4-flash-20260614T164416Z,0.5416666666666666,0.48055555555555557,0.6027777777777777,3,360,0.0,True,DROP expected; parity without CoT is hard.,,
even_word_count,even_word_count_deconfounded,deconfounded,deepseek,deepseek-v4-flash,rule_given,results/deconfound-sweep/step1-rule_given-deepseek-v4-flash-20260614T165820Z,0.5,,,1,120,0.0,True,DROP expected; parity without CoT is hard.,,
even_word_count,even_word_count_deconfounded,deconfounded,openai,gpt-4.1,confirmation,results/deconfound-sweep/step1-confirmation-gpt-4.1-20260614T165115Z,0.5,0.4466666666666666,0.5533333333333333,3,300,0.0,True,DROP expected; parity without CoT is hard.,,
even_word_count,even_word_count_deconfounded,deconfounded,openai,gpt-4.1,full,results/deconfound-sweep/step1-full-gpt-4.1-20260614T164416Z,0.5472222222222222,0.49444444444444446,0.6000000000000001,3,360,0.0,True,DROP expected; parity without CoT is hard.,-0.26388888888888906,DROP
even_word_count,even_word_count_deconfounded,deconfounded,openai,gpt-4.1,rule_given,results/deconfound-sweep/step1-rule_given-gpt-4.1-20260614T165820Z,0.48333333333333334,,,1,120,0.0,True,DROP expected; parity without CoT is hard.,-0.016666666666666663,HOLD
even_word_count,even_word_count,original,openai,gpt-4.1,full,results/step1-full-gpt-4.1-20260611T000748Z,0.8111111111111112,0.763888888888889,0.8555555555555555,3,360,0.0,True,DROP expected; parity without CoT is hard.,,
even_word_count,even_word_count,original,openai,gpt-4.1,rule_given,results/step1-rule_given-gpt-4.1-20260611T002539Z,0.5,,,1,120,0.0,True,DROP expected; parity without CoT is hard.,,
even_word_count,even_word_count_deconfounded,deconfounded,openai,gpt-4.1-mini,confirmation,results/deconfound-sweep/step1-confirmation-gpt-4.1-mini-20260614T165115Z,0.48333333333333334,0.43,0.5333333333333333,3,300,0.0,True,DROP expected; parity without CoT is hard.,,
even_word_count,even_word_count_deconfounded,deconfounded,openai,gpt-4.1-mini,full,results/deconfound-sweep/step1-full-gpt-4.1-mini-20260614T164416Z,0.5305555555555556,0.4861111111111111,0.5750000000000001,3,360,0.0,True,DROP expected; parity without CoT is hard.,-0.047222222222222276,HOLD
even_word_count,even_word_count_deconfounded,deconfounded,openai,gpt-4.1-mini,rule_given,results/deconfound-sweep/step1-rule_given-gpt-4.1-mini-20260614T165819Z,0.3333333333333333,,,1,120,0.0,True,DROP expected; parity without CoT is hard.,-0.16666666666666669,DROP
even_word_count,even_word_count,original,openai,gpt-4.1-mini,full,results/step1-full-gpt-4.1-mini-20260611T001640Z,0.5777777777777778,0.5111111111111111,0.6416666666666667,3,360,0.0,True,DROP expected; parity without CoT is hard.,,
even_word_count,even_word_count,original,openai,gpt-4.1-mini,rule_given,results/step1-rule_given-gpt-4.1-mini-20260611T002808Z,0.5,,,1,120,0.0,True,DROP expected; parity without CoT is hard.,,
first_two_words_alphabetical,first_two_words_alphabetical_deconfounded,deconfounded,open_weights,Qwen2.5-7B-Instruct,full,results/deconfound-sweep/qwen-step1-20260614T171204Z,0.46388888888888885,0.41302669640146544,0.5155136077071624,3,360,0.0,True,Moderate DROP; vocabulary skew was found.,,
first_two_words_alphabetical,first_two_words_alphabetical_deconfounded,deconfounded,anthropic,claude-opus-4-8,full,results/cross_family/claude-deconfounded-step1-20260614T171204Z.jsonl,0.50997150997151,0.45785013272800257,0.5618769871617203,3,360,0.025,True,Moderate DROP; vocabulary skew was found.,,
first_two_words_alphabetical,first_two_words_alphabetical_deconfounded,deconfounded,deepseek,deepseek-v4-flash,confirmation,results/deconfound-sweep/step1-confirmation-deepseek-v4-flash-20260614T165115Z,0.5366666666666666,0.47333333333333333,0.6,3,300,0.0,True,Moderate DROP; vocabulary skew was found.,,
first_two_words_alphabetical,first_two_words_alphabetical_deconfounded,deconfounded,deepseek,deepseek-v4-flash,full,results/deconfound-sweep/step1-full-deepseek-v4-flash-20260614T164416Z,0.4666666666666666,0.4083333333333334,0.525,3,360,0.0,True,Moderate DROP; vocabulary skew was found.,,
first_two_words_alphabetical,first_two_words_alphabetical_deconfounded,deconfounded,deepseek,deepseek-v4-flash,rule_given,results/deconfound-sweep/step1-rule_given-deepseek-v4-flash-20260614T165820Z,0.49166666666666664,,,1,120,0.0,True,Moderate DROP; vocabulary skew was found.,,
first_two_words_alphabetical,first_two_words_alphabetical_deconfounded,deconfounded,openai,gpt-4.1,confirmation,results/deconfound-sweep/step1-confirmation-gpt-4.1-20260614T165115Z,0.5066666666666667,0.4533333333333333,0.56,3,300,0.0,True,Moderate DROP; vocabulary skew was found.,,
first_two_words_alphabetical,first_two_words_alphabetical_deconfounded,deconfounded,openai,gpt-4.1,full,results/deconfound-sweep/step1-full-gpt-4.1-20260614T164416Z,0.48333333333333334,0.4305555555555555,0.5361111111111111,3,360,0.0,True,Moderate DROP; vocabulary skew was found.,-0.06388888888888883,MODERATE_DROP
first_two_words_alphabetical,first_two_words_alphabetical_deconfounded,deconfounded,openai,gpt-4.1,rule_given,results/deconfound-sweep/step1-rule_given-gpt-4.1-20260614T165820Z,0.55,,,1,120,0.0,True,Moderate DROP; vocabulary skew was found.,-0.05833333333333324,MODERATE_DROP
first_two_words_alphabetical,first_two_words_alphabetical,original,openai,gpt-4.1,full,results/step1-full-gpt-4.1-20260611T000748Z,0.5472222222222222,0.4861111111111111,0.6055555555555556,3,360,0.0,True,Moderate DROP; vocabulary skew was found.,,
first_two_words_alphabetical,first_two_words_alphabetical,original,openai,gpt-4.1,rule_given,results/step1-rule_given-gpt-4.1-20260611T002539Z,0.6083333333333333,,,1,120,0.0,True,Moderate DROP; vocabulary skew was found.,,
first_two_words_alphabetical,first_two_words_alphabetical_deconfounded,deconfounded,openai,gpt-4.1-mini,confirmation,results/deconfound-sweep/step1-confirmation-gpt-4.1-mini-20260614T165115Z,0.5533333333333333,0.49333333333333335,0.6166666666666667,3,300,0.0,True,Moderate DROP; vocabulary skew was found.,,
first_two_words_alphabetical,first_two_words_alphabetical_deconfounded,deconfounded,openai,gpt-4.1-mini,full,results/deconfound-sweep/step1-full-gpt-4.1-mini-20260614T164416Z,0.5222222222222223,0.4666666666666666,0.5777777777777778,3,360,0.0,True,Moderate DROP; vocabulary skew was found.,-0.016666666666666607,HOLD
first_two_words_alphabetical,first_two_words_alphabetical_deconfounded,deconfounded,openai,gpt-4.1-mini,rule_given,results/deconfound-sweep/step1-rule_given-gpt-4.1-mini-20260614T165819Z,0.5,,,1,120,0.0,True,Moderate DROP; vocabulary skew was found.,-0.008333333333333304,HOLD
first_two_words_alphabetical,first_two_words_alphabetical,original,openai,gpt-4.1-mini,full,results/step1-full-gpt-4.1-mini-20260611T001640Z,0.5388888888888889,0.4833333333333334,0.5916666666666667,3,360,0.0,True,Moderate DROP; vocabulary skew was found.,,
first_two_words_alphabetical,first_two_words_alphabetical,original,openai,gpt-4.1-mini,rule_given,results/step1-rule_given-gpt-4.1-mini-20260611T002808Z,0.5083333333333333,,,1,120,0.0,True,Moderate DROP; vocabulary skew was found.,,
first_word_longer_than_last,first_word_longer_than_last_deconfounded,deconfounded,open_weights,Qwen2.5-7B-Instruct,full,results/deconfound-sweep/qwen-step1-20260614T171204Z,0.5194444444444445,0.4679013995225557,0.5705768982651064,3,360,0.0,True,Moderate DROP; scalar first/last length components remain intended.,,
first_word_longer_than_last,first_word_longer_than_last_deconfounded,deconfounded,anthropic,claude-opus-4-8,full,results/cross_family/claude-deconfounded-step1-20260614T171204Z.jsonl,0.5791044776119403,0.5256327464293933,0.6307825877049287,3,360,0.06944444444444445,True,Moderate DROP; scalar first/last length components remain intended.,,
first_word_longer_than_last,first_word_longer_than_last_deconfounded,deconfounded,deepseek,deepseek-v4-flash,confirmation,results/deconfound-sweep/step1-confirmation-deepseek-v4-flash-20260614T165115Z,0.5466666666666667,0.4766666666666666,0.6133333333333334,3,300,0.0,True,Moderate DROP; scalar first/last length components remain intended.,,
first_word_longer_than_last,first_word_longer_than_last_deconfounded,deconfounded,deepseek,deepseek-v4-flash,full,results/deconfound-sweep/step1-full-deepseek-v4-flash-20260614T164416Z,0.5222222222222223,0.4666666666666666,0.5777777777777778,3,360,0.0,True,Moderate DROP; scalar first/last length components remain intended.,,
first_word_longer_than_last,first_word_longer_than_last_deconfounded,deconfounded,deepseek,deepseek-v4-flash,rule_given,results/deconfound-sweep/step1-rule_given-deepseek-v4-flash-20260614T165820Z,0.5083333333333333,,,1,120,0.0,True,Moderate DROP; scalar first/last length components remain intended.,,
first_word_longer_than_last,first_word_longer_than_last_deconfounded,deconfounded,openai,gpt-4.1,confirmation,results/deconfound-sweep/step1-confirmation-gpt-4.1-20260614T165115Z,0.5866666666666667,0.52,0.6533333333333333,3,300,0.0,True,Moderate DROP; scalar first/last length components remain intended.,,
first_word_longer_than_last,first_word_longer_than_last_deconfounded,deconfounded,openai,gpt-4.1,full,results/deconfound-sweep/step1-full-gpt-4.1-20260614T164416Z,0.6111111111111112,0.5472222222222222,0.6722222222222222,3,360,0.0,True,Moderate DROP; scalar first/last length components remain intended.,0.019444444444444486,HOLD
first_word_longer_than_last,first_word_longer_than_last_deconfounded,deconfounded,openai,gpt-4.1,rule_given,results/deconfound-sweep/step1-rule_given-gpt-4.1-20260614T165820Z,0.48333333333333334,,,1,120,0.0,True,Moderate DROP; scalar first/last length components remain intended.,-0.041666666666666685,HOLD
first_word_longer_than_last,first_word_longer_than_last,original,openai,gpt-4.1,full,results/step1-full-gpt-4.1-20260611T000748Z,0.5916666666666667,0.5277777777777777,0.6555555555555556,3,360,0.0,True,Moderate DROP; scalar first/last length components remain intended.,,
first_word_longer_than_last,first_word_longer_than_last,original,openai,gpt-4.1,rule_given,results/step1-rule_given-gpt-4.1-20260611T002539Z,0.525,,,1,120,0.0,True,Moderate DROP; scalar first/last length components remain intended.,,
first_word_longer_than_last,first_word_longer_than_last_deconfounded,deconfounded,openai,gpt-4.1-mini,confirmation,results/deconfound-sweep/step1-confirmation-gpt-4.1-mini-20260614T165115Z,0.52,0.45999999999999996,0.5766666666666667,3,300,0.0,True,Moderate DROP; scalar first/last length components remain intended.,,
first_word_longer_than_last,first_word_longer_than_last_deconfounded,deconfounded,openai,gpt-4.1-mini,full,results/deconfound-sweep/step1-full-gpt-4.1-mini-20260614T164416Z,0.5416666666666666,0.4861111111111111,0.5972222222222222,3,360,0.0,True,Moderate DROP; scalar first/last length components remain intended.,0.008333333333333304,HOLD
first_word_longer_than_last,first_word_longer_than_last_deconfounded,deconfounded,openai,gpt-4.1-mini,rule_given,results/deconfound-sweep/step1-rule_given-gpt-4.1-mini-20260614T165819Z,0.5416666666666666,,,1,120,0.0,True,Moderate DROP; scalar first/last length components remain intended.,0.05833333333333329,GAIN
first_word_longer_than_last,first_word_longer_than_last,original,openai,gpt-4.1-mini,full,results/step1-full-gpt-4.1-mini-20260611T001640Z,0.5333333333333333,0.47500000000000003,0.5916666666666667,3,360,0.0,True,Moderate DROP; scalar first/last length components remain intended.,,
first_word_longer_than_last,first_word_longer_than_last,original,openai,gpt-4.1-mini,rule_given,results/step1-rule_given-gpt-4.1-mini-20260611T002808Z,0.48333333333333334,,,1,120,0.0,True,Moderate DROP; scalar first/last length components remain intended.,,
food_topic,food_topic_deconfounded,deconfounded,open_weights,Qwen2.5-7B-Instruct,full,results/deconfound-sweep/qwen-step1-20260614T171204Z,0.6749999999999999,0.6249902431500496,0.7213144369389077,3,360,0.0,True,DROP likely if keyword list was load-bearing; HOLD if topic abstraction survives.,0.0527777777777777,GAIN
food_topic,food_topic,original,open_weights,Qwen2.5-7B-Instruct,full,results,0.6222222222222222,0.5710974644349645,0.6707661216589105,3,360,0.0,True,DROP likely if keyword list was load-bearing; HOLD if topic abstraction survives.,,
food_topic,food_topic_deconfounded,deconfounded,anthropic,claude-opus-4-8,full,results/cross_family/claude-deconfounded-step1-20260614T171204Z.jsonl,0.9916666666666667,0.9757892964950321,0.9971619475644193,3,360,0.0,True,DROP likely if keyword list was load-bearing; HOLD if topic abstraction survives.,,
food_topic,food_topic_deconfounded,deconfounded,deepseek,deepseek-v4-flash,confirmation,results/deconfound-sweep/step1-confirmation-deepseek-v4-flash-20260614T165115Z,0.7033333333333333,0.6533333333333333,0.7533333333333333,3,300,0.0,True,DROP likely if keyword list was load-bearing; HOLD if topic abstraction survives.,,
food_topic,food_topic_deconfounded,deconfounded,deepseek,deepseek-v4-flash,full,results/deconfound-sweep/step1-full-deepseek-v4-flash-20260614T164416Z,0.6972222222222223,0.65,0.7417361111111102,3,360,0.0,True,DROP likely if keyword list was load-bearing; HOLD if topic abstraction survives.,,
food_topic,food_topic_deconfounded,deconfounded,deepseek,deepseek-v4-flash,rule_given,results/deconfound-sweep/step1-rule_given-deepseek-v4-flash-20260614T165820Z,0.65,,,1,120,0.0,True,DROP likely if keyword list was load-bearing; HOLD if topic abstraction survives.,,
