canonical_rule_id,rule_id,dataset_version,model,model_family,source_run_dir,ff_median_direct,ff_best_variant,ff_grade_counts,ff_direct_median,ff_think_median,ff_no_examples_median,ff_n_generations,ff_run_dir,mc_examples_acc,mc_examples_ci,mc_examples_n,mc_parse_failures,mc_modal_choice,mc_modal_is_true,mc_run_dir,second_judge_n,second_judge_exact_agreement,ff_median_delta_vs_original
mentions_color,mentions_color_deconfounded,deconfounded,deepseek-v4-flash,deepseek,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,1.0,2,"{""0"": 0, ""1"": 5, ""2"": 7}",1.0,2.0,0.0,12,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,1.0,"[0.7575059933447592, 1.0]",12,0,true:mentions_color,True,results/deconfound-sweep/step2mc-deepseek-v4-flash-20260614T170420Z,18,0.7222222222222222,
mentions_color,mentions_color_deconfounded,deconfounded,gpt-4.1,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,0.0,2,"{""0"": 4, ""1"": 4, ""2"": 4}",0.0,1.0,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,0.9166666666666666,"[0.646120088858883, 0.9851349055950829]",12,0,true:mentions_color,True,results/deconfound-sweep/step2mc-gpt-4.1-20260614T170420Z,18,0.7222222222222222,0.0
mentions_color,mentions_color,original,gpt-4.1,openai,results/step2-freeform-gpt-4.1-20260611T011216Z,0.0,2,"{""0"": 9, ""1"": 1, ""2"": 2}",0.0,0.5,0.0,12,results/step2-freeform-gpt-4.1-20260611T011216Z,0.5,"[0.2537815976337061, 0.7462184023662939]",12,0,true:mentions_color,True,results/step2mc-gpt-4.1-20260612T002908Z,,,
mentions_color,mentions_color_deconfounded,deconfounded,gpt-4.1-mini,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,1.5,2,"{""0"": 1, ""1"": 6, ""2"": 5}",1.5,1.0,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,1.0,"[0.7575059933447592, 1.0]",12,0,true:mentions_color,True,results/deconfound-sweep/step2mc-gpt-4.1-mini-20260614T170420Z,18,0.7222222222222222,0.0
mentions_color,mentions_color,original,gpt-4.1-mini,openai,results/step2-freeform-gpt-4.1-mini-20260611T011258Z,1.5,2,"{""0"": 1, ""1"": 5, ""2"": 6}",1.5,1.5,0.0,12,results/step2-freeform-gpt-4.1-mini-20260611T011258Z,1.0,"[0.7575059933447592, 1.0]",12,0,true:mentions_color,True,results/step2mc-gpt-4.1-mini-20260612T002926Z,,,
mentions_animal,mentions_animal_deconfounded,deconfounded,deepseek-v4-flash,deepseek,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,1.0,2,"{""0"": 0, ""1"": 11, ""2"": 1}",1.0,1.0,0.0,12,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,0.9166666666666666,"[0.646120088858883, 0.9851349055950829]",12,0,true:mentions_animal,True,results/deconfound-sweep/step2mc-deepseek-v4-flash-20260614T170420Z,18,1.0,
mentions_animal,mentions_animal_deconfounded,deconfounded,gpt-4.1,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,1.0,1,"{""0"": 1, ""1"": 11, ""2"": 0}",1.0,1.0,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,1.0,"[0.7575059933447592, 1.0]",12,0,true:mentions_animal,True,results/deconfound-sweep/step2mc-gpt-4.1-20260614T170420Z,18,1.0,0.0
mentions_animal,mentions_animal,original,gpt-4.1,openai,results/step2-freeform-gpt-4.1-20260611T011216Z,1.0,2,"{""0"": 4, ""1"": 4, ""2"": 4}",1.0,0.0,0.0,12,results/step2-freeform-gpt-4.1-20260611T011216Z,1.0,"[0.7575059933447592, 1.0]",12,0,true:mentions_animal,True,results/step2mc-gpt-4.1-20260612T002908Z,,,
mentions_animal,mentions_animal_deconfounded,deconfounded,gpt-4.1-mini,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,2.0,2,"{""0"": 1, ""1"": 4, ""2"": 7}",2.0,1.5,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,0.9166666666666666,"[0.646120088858883, 0.9851349055950829]",12,0,true:mentions_animal,True,results/deconfound-sweep/step2mc-gpt-4.1-mini-20260614T170420Z,18,1.0,0.0
mentions_animal,mentions_animal,original,gpt-4.1-mini,openai,results/step2-freeform-gpt-4.1-mini-20260611T011258Z,2.0,2,"{""0"": 1, ""1"": 0, ""2"": 11}",2.0,2.0,0.0,12,results/step2-freeform-gpt-4.1-mini-20260611T011258Z,0.9166666666666666,"[0.646120088858883, 0.9851349055950829]",12,0,true:mentions_animal,True,results/step2mc-gpt-4.1-mini-20260612T002926Z,,,
food_topic,food_topic_deconfounded,deconfounded,deepseek-v4-flash,deepseek,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,1.0,1,"{""0"": 0, ""1"": 12, ""2"": 0}",1.0,1.0,0.0,12,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,0.5833333333333334,"[0.31951131254954973, 0.8067396863412435]",12,1,true:food_topic,True,results/deconfound-sweep/step2mc-deepseek-v4-flash-20260614T170420Z,18,0.7222222222222222,
food_topic,food_topic_deconfounded,deconfounded,gpt-4.1,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,1.0,1,"{""0"": 2, ""1"": 10, ""2"": 0}",1.0,1.0,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,1.0,"[0.7575059933447592, 1.0]",12,0,true:food_topic,True,results/deconfound-sweep/step2mc-gpt-4.1-20260614T170420Z,18,0.7222222222222222,-1.0
food_topic,food_topic,original,gpt-4.1,openai,results/step2-freeform-gpt-4.1-20260611T011216Z,2.0,2,"{""0"": 1, ""1"": 0, ""2"": 11}",2.0,2.0,0.0,12,results/step2-freeform-gpt-4.1-20260611T011216Z,1.0,"[0.7575059933447592, 1.0]",12,0,true:food_topic,True,results/step2mc-gpt-4.1-20260612T002908Z,,,
food_topic,food_topic_deconfounded,deconfounded,gpt-4.1-mini,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,1.0,1,"{""0"": 2, ""1"": 10, ""2"": 0}",1.0,1.0,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,1.0,"[0.7575059933447592, 1.0]",12,0,true:food_topic,True,results/deconfound-sweep/step2mc-gpt-4.1-mini-20260614T170420Z,18,0.7222222222222222,-1.0
food_topic,food_topic,original,gpt-4.1-mini,openai,results/step2-freeform-gpt-4.1-mini-20260611T011258Z,2.0,2,"{""0"": 0, ""1"": 2, ""2"": 10}",2.0,2.0,0.0,12,results/step2-freeform-gpt-4.1-mini-20260611T011258Z,1.0,"[0.7575059933447592, 1.0]",12,0,true:food_topic,True,results/step2mc-gpt-4.1-mini-20260612T002926Z,,,
positive_sentiment,positive_sentiment_deconfounded,deconfounded,deepseek-v4-flash,deepseek,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,2.0,2,"{""0"": 0, ""1"": 5, ""2"": 7}",2.0,1.5,0.0,12,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,0.9166666666666666,"[0.646120088858883, 0.9851349055950829]",12,1,true:positive_sentiment,True,results/deconfound-sweep/step2mc-deepseek-v4-flash-20260614T170420Z,18,0.5555555555555556,
positive_sentiment,positive_sentiment_deconfounded,deconfounded,gpt-4.1,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,1.0,1,"{""0"": 0, ""1"": 12, ""2"": 0}",1.0,1.0,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,1.0,"[0.7575059933447592, 1.0]",12,0,true:positive_sentiment,True,results/deconfound-sweep/step2mc-gpt-4.1-20260614T170420Z,18,0.5555555555555556,-1.0
positive_sentiment,positive_sentiment,original,gpt-4.1,openai,results/step2-freeform-gpt-4.1-20260611T011216Z,2.0,2,"{""0"": 1, ""1"": 0, ""2"": 11}",2.0,2.0,0.0,12,results/step2-freeform-gpt-4.1-20260611T011216Z,1.0,"[0.7575059933447592, 1.0]",12,0,true:positive_sentiment,True,results/step2mc-gpt-4.1-20260612T002908Z,,,
positive_sentiment,positive_sentiment_deconfounded,deconfounded,gpt-4.1-mini,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,1.0,2,"{""0"": 0, ""1"": 10, ""2"": 2}",1.0,1.0,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,0.9166666666666666,"[0.646120088858883, 0.9851349055950829]",12,0,true:positive_sentiment,True,results/deconfound-sweep/step2mc-gpt-4.1-mini-20260614T170420Z,18,0.5555555555555556,-1.0
positive_sentiment,positive_sentiment,original,gpt-4.1-mini,openai,results/step2-freeform-gpt-4.1-mini-20260611T011258Z,2.0,2,"{""0"": 1, ""1"": 0, ""2"": 11}",2.0,2.0,0.0,12,results/step2-freeform-gpt-4.1-mini-20260611T011258Z,1.0,"[0.7575059933447592, 1.0]",12,0,true:positive_sentiment,True,results/step2mc-gpt-4.1-mini-20260612T002926Z,,,
contains_first_name,contains_first_name_deconfounded,deconfounded,deepseek-v4-flash,deepseek,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,1.5,2,"{""0"": 1, ""1"": 8, ""2"": 3}",1.5,1.0,0.0,12,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,0.5833333333333334,"[0.31951131254954973, 0.8067396863412435]",12,4,true:contains_first_name,True,results/deconfound-sweep/step2mc-deepseek-v4-flash-20260614T170420Z,18,0.9444444444444444,
contains_first_name,contains_first_name_deconfounded,deconfounded,gpt-4.1,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,2.0,2,"{""0"": 2, ""1"": 1, ""2"": 9}",2.0,2.0,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,1.0,"[0.7575059933447592, 1.0]",12,0,true:contains_first_name,True,results/deconfound-sweep/step2mc-gpt-4.1-20260614T170420Z,18,0.9444444444444444,0.0
contains_first_name,contains_first_name,original,gpt-4.1,openai,results/step2-freeform-gpt-4.1-20260611T011216Z,2.0,2,"{""0"": 2, ""1"": 2, ""2"": 8}",2.0,1.5,0.0,12,results/step2-freeform-gpt-4.1-20260611T011216Z,1.0,"[0.7575059933447592, 1.0]",12,0,true:contains_first_name,True,results/step2mc-gpt-4.1-20260612T002908Z,,,
contains_first_name,contains_first_name_deconfounded,deconfounded,gpt-4.1-mini,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,1.0,2,"{""0"": 1, ""1"": 6, ""2"": 5}",1.0,1.5,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,0.8333333333333334,"[0.5519691377470267, 0.9530348578161462]",12,0,true:contains_first_name,True,results/deconfound-sweep/step2mc-gpt-4.1-mini-20260614T170420Z,18,0.9444444444444444,0.0
contains_first_name,contains_first_name,original,gpt-4.1-mini,openai,results/step2-freeform-gpt-4.1-mini-20260611T011258Z,1.0,2,"{""0"": 2, ""1"": 4, ""2"": 6}",1.0,2.0,0.0,12,results/step2-freeform-gpt-4.1-mini-20260611T011258Z,1.0,"[0.7575059933447592, 1.0]",12,0,true:contains_first_name,True,results/step2mc-gpt-4.1-mini-20260612T002926Z,,,
starts_with_vowel,starts_with_vowel_deconfounded,deconfounded,deepseek-v4-flash,deepseek,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,0.0,0,"{""0"": 12, ""1"": 0, ""2"": 0}",0.0,0.0,0.0,12,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,0.25,"[0.08894166839405476, 0.5323053349335656]",12,0,starts_plural,False,results/deconfound-sweep/step2mc-deepseek-v4-flash-20260614T170420Z,18,0.8888888888888888,
starts_with_vowel,starts_with_vowel_deconfounded,deconfounded,gpt-4.1,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,0.0,1,"{""0"": 9, ""1"": 3, ""2"": 0}",0.0,0.0,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,0.3333333333333333,"[0.13812009109121315, 0.6093779111272004]",12,0,starts_plural,False,results/deconfound-sweep/step2mc-gpt-4.1-20260614T170420Z,18,0.8888888888888888,
starts_with_vowel,starts_with_vowel_deconfounded,deconfounded,gpt-4.1-mini,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,0.0,1,"{""0"": 11, ""1"": 1, ""2"": 0}",0.0,0.0,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,0.0,"[2.7755575615628914e-17, 0.24249400665524085]",12,6,first_noun,False,results/deconfound-sweep/step2mc-gpt-4.1-mini-20260614T170420Z,18,0.8888888888888888,
last_word_ends_with_vowel,last_word_ends_with_vowel_deconfounded,deconfounded,deepseek-v4-flash,deepseek,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,0.0,1,"{""0"": 11, ""1"": 1, ""2"": 0}",0.0,0.0,0.0,12,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,0.25,"[0.08894166839405476, 0.5323053349335656]",12,0,true:last_word_ends_with_vowel,True,results/deconfound-sweep/step2mc-deepseek-v4-flash-20260614T170420Z,18,1.0,
last_word_ends_with_vowel,last_word_ends_with_vowel_deconfounded,deconfounded,gpt-4.1,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,0.0,0,"{""0"": 12, ""1"": 0, ""2"": 0}",0.0,0.0,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,0.08333333333333333,"[0.014865094404917095, 0.35387991114111694]",12,0,last_noun,False,results/deconfound-sweep/step2mc-gpt-4.1-20260614T170420Z,18,1.0,
