canonical_rule_id,rule_id,dataset_version,model,model_family,source_run_dir,ff_median_direct,ff_best_variant,ff_grade_counts,ff_direct_median,ff_think_median,ff_no_examples_median,ff_n_generations,ff_run_dir,mc_examples_acc,mc_examples_ci,mc_examples_n,mc_parse_failures,mc_modal_choice,mc_modal_is_true,mc_run_dir,second_judge_n,second_judge_exact_agreement,ff_median_delta_vs_original
last_word_ends_with_vowel,last_word_ends_with_vowel_deconfounded,deconfounded,gpt-4.1-mini,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,0.0,0,"{""0"": 12, ""1"": 0, ""2"": 0}",0.0,0.0,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,0.16666666666666666,"[0.04696514218385378, 0.4480308622529734]",12,0,last_noun,False,results/deconfound-sweep/step2mc-gpt-4.1-mini-20260614T170420Z,18,1.0,
word_count_geq_8,word_count_geq_8_deconfounded,deconfounded,deepseek-v4-flash,deepseek,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,0.0,1,"{""0"": 11, ""1"": 1, ""2"": 0}",0.0,0.0,0.0,12,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,0.25,"[0.08894166839405476, 0.5323053349335656]",12,2,true:word_count_geq_8,True,results/deconfound-sweep/step2mc-deepseek-v4-flash-20260614T170420Z,18,0.9444444444444444,
word_count_geq_8,word_count_geq_8_deconfounded,deconfounded,gpt-4.1,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,0.0,0,"{""0"": 12, ""1"": 0, ""2"": 0}",0.0,0.0,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,0.75,"[0.4676946650664343, 0.9110583316059452]",12,0,true:word_count_geq_8,True,results/deconfound-sweep/step2mc-gpt-4.1-20260614T170420Z,18,0.9444444444444444,0.0
word_count_geq_8,word_count_geq_8,original,gpt-4.1,openai,results/step2-freeform-gpt-4.1-20260611T011216Z,0.0,1,"{""0"": 11, ""1"": 1, ""2"": 0}",0.0,0.0,0.0,12,results/step2-freeform-gpt-4.1-20260611T011216Z,0.4166666666666667,"[0.19326031365875668, 0.6804886874504503]",12,0,wc_geq_6,False,results/step2mc-gpt-4.1-20260612T002908Z,,,
word_count_geq_8,word_count_geq_8_deconfounded,deconfounded,gpt-4.1-mini,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,0.0,0,"{""0"": 12, ""1"": 0, ""2"": 0}",0.0,0.0,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,0.5,"[0.2537815976337061, 0.7462184023662939]",12,1,true:word_count_geq_8,True,results/deconfound-sweep/step2mc-gpt-4.1-mini-20260614T170420Z,18,0.9444444444444444,0.0
word_count_geq_8,word_count_geq_8,original,gpt-4.1-mini,openai,results/step2-freeform-gpt-4.1-mini-20260611T011258Z,0.0,0,"{""0"": 12, ""1"": 0, ""2"": 0}",0.0,0.0,0.0,12,results/step2-freeform-gpt-4.1-mini-20260611T011258Z,0.25,"[0.08894166839405476, 0.5323053349335656]",12,1,wc_geq_6,False,results/step2mc-gpt-4.1-mini-20260612T002926Z,,,
second_word_capitalized,second_word_capitalized_deconfounded,deconfounded,deepseek-v4-flash,deepseek,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,0.0,2,"{""0"": 6, ""1"": 2, ""2"": 4}",0.0,2.0,0.0,12,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,0.3333333333333333,"[0.13812009109121315, 0.6093779111272004]",12,3,true:second_word_capitalized,True,results/deconfound-sweep/step2mc-deepseek-v4-flash-20260614T170420Z,18,0.7222222222222222,
second_word_capitalized,second_word_capitalized_deconfounded,deconfounded,gpt-4.1,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,0.0,1,"{""0"": 9, ""1"": 3, ""2"": 0}",0.0,0.0,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,0.5833333333333334,"[0.31951131254954973, 0.8067396863412435]",12,0,true:second_word_capitalized,True,results/deconfound-sweep/step2mc-gpt-4.1-20260614T170420Z,18,0.7222222222222222,-1.0
second_word_capitalized,second_word_capitalized,original,gpt-4.1,openai,results/step2-freeform-gpt-4.1-20260611T011216Z,1.0,1,"{""0"": 5, ""1"": 7, ""2"": 0}",1.0,0.5,0.0,12,results/step2-freeform-gpt-4.1-20260611T011216Z,0.25,"[0.08894166839405476, 0.5323053349335656]",12,0,second_is_name,False,results/step2mc-gpt-4.1-20260612T002908Z,,,
second_word_capitalized,second_word_capitalized_deconfounded,deconfounded,gpt-4.1-mini,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,1.0,2,"{""0"": 4, ""1"": 4, ""2"": 4}",1.0,0.5,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,0.25,"[0.08894166839405476, 0.5323053349335656]",12,0,second_is_name,False,results/deconfound-sweep/step2mc-gpt-4.1-mini-20260614T170420Z,18,0.7222222222222222,0.0
second_word_capitalized,second_word_capitalized,original,gpt-4.1-mini,openai,results/step2-freeform-gpt-4.1-mini-20260611T011258Z,1.0,2,"{""0"": 4, ""1"": 4, ""2"": 4}",1.0,1.0,0.0,12,results/step2-freeform-gpt-4.1-mini-20260611T011258Z,0.16666666666666666,"[0.04696514218385378, 0.4480308622529734]",12,0,second_is_name,False,results/step2mc-gpt-4.1-mini-20260612T002926Z,,,
even_word_count,even_word_count_deconfounded,deconfounded,deepseek-v4-flash,deepseek,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,0.0,0,"{""0"": 12, ""1"": 0, ""2"": 0}",0.0,0.0,0.0,12,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,0.25,"[0.08894166839405476, 0.5323053349335656]",12,4,true:even_word_count,True,results/deconfound-sweep/step2mc-deepseek-v4-flash-20260614T170420Z,18,1.0,
even_word_count,even_word_count_deconfounded,deconfounded,gpt-4.1,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,0.0,0,"{""0"": 12, ""1"": 0, ""2"": 0}",0.0,0.0,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,0.4166666666666667,"[0.19326031365875668, 0.6804886874504503]",12,0,true:even_word_count,True,results/deconfound-sweep/step2mc-gpt-4.1-20260614T170420Z,18,1.0,
even_word_count,even_word_count_deconfounded,deconfounded,gpt-4.1-mini,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,0.0,0,"{""0"": 12, ""1"": 0, ""2"": 0}",0.0,0.0,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,0.08333333333333333,"[0.014865094404917095, 0.35387991114111694]",12,9,true:even_word_count,True,results/deconfound-sweep/step2mc-gpt-4.1-mini-20260614T170420Z,18,1.0,
passive_voice,passive_voice_deconfounded,deconfounded,deepseek-v4-flash,deepseek,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,1.0,2,"{""0"": 2, ""1"": 6, ""2"": 4}",1.0,1.5,0.0,12,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,0.5833333333333334,"[0.31951131254954973, 0.8067396863412435]",12,2,true:passive_voice,True,results/deconfound-sweep/step2mc-deepseek-v4-flash-20260614T170420Z,18,0.7222222222222222,
passive_voice,passive_voice_deconfounded,deconfounded,gpt-4.1,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,0.5,2,"{""0"": 5, ""1"": 5, ""2"": 2}",0.5,1.0,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,1.0,"[0.7575059933447592, 1.0]",12,0,true:passive_voice,True,results/deconfound-sweep/step2mc-gpt-4.1-20260614T170420Z,18,0.7222222222222222,-0.5
passive_voice,passive_voice,original,gpt-4.1,openai,results/step2-freeform-gpt-4.1-20260611T011216Z,1.0,1,"{""0"": 3, ""1"": 9, ""2"": 0}",1.0,0.5,0.0,12,results/step2-freeform-gpt-4.1-20260611T011216Z,0.6666666666666666,"[0.39062208887279953, 0.8618799089087867]",12,0,true:passive_voice,True,results/step2mc-gpt-4.1-20260612T002908Z,,,
passive_voice,passive_voice_deconfounded,deconfounded,gpt-4.1-mini,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,1.0,2,"{""0"": 4, ""1"": 6, ""2"": 2}",1.0,0.5,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,0.5833333333333334,"[0.31951131254954973, 0.8067396863412435]",12,2,true:passive_voice,True,results/deconfound-sweep/step2mc-gpt-4.1-mini-20260614T170420Z,18,0.7222222222222222,0.0
passive_voice,passive_voice,original,gpt-4.1-mini,openai,results/step2-freeform-gpt-4.1-mini-20260611T011258Z,1.0,2,"{""0"": 3, ""1"": 8, ""2"": 1}",1.0,1.0,0.0,12,results/step2-freeform-gpt-4.1-mini-20260611T011258Z,0.9166666666666666,"[0.646120088858883, 0.9851349055950829]",12,0,true:passive_voice,True,results/step2mc-gpt-4.1-mini-20260612T002926Z,,,
the_appears_twice,the_appears_twice_deconfounded,deconfounded,deepseek-v4-flash,deepseek,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,0.0,0,"{""0"": 12, ""1"": 0, ""2"": 0}",0.0,0.0,0.0,12,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,0.16666666666666666,"[0.04696514218385378, 0.4480308622529734]",12,2,word_the,False,results/deconfound-sweep/step2mc-deepseek-v4-flash-20260614T170420Z,18,1.0,
the_appears_twice,the_appears_twice_deconfounded,deconfounded,gpt-4.1,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,0.0,0,"{""0"": 12, ""1"": 0, ""2"": 0}",0.0,0.0,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,0.16666666666666666,"[0.04696514218385378, 0.4480308622529734]",12,0,nouns_geq_2,False,results/deconfound-sweep/step2mc-gpt-4.1-20260614T170420Z,18,1.0,
the_appears_twice,the_appears_twice_deconfounded,deconfounded,gpt-4.1-mini,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,0.0,0,"{""0"": 12, ""1"": 0, ""2"": 0}",0.0,0.0,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,0.16666666666666666,"[0.04696514218385378, 0.4480308622529734]",12,0,begins_The,False,results/deconfound-sweep/step2mc-gpt-4.1-mini-20260614T170420Z,18,1.0,
first_word_longer_than_last,first_word_longer_than_last_deconfounded,deconfounded,deepseek-v4-flash,deepseek,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,0.0,0,"{""0"": 12, ""1"": 0, ""2"": 0}",0.0,0.0,0.0,12,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,0.25,"[0.08894166839405476, 0.5323053349335656]",12,1,cross:first_last_same_letter,False,results/deconfound-sweep/step2mc-deepseek-v4-flash-20260614T170420Z,18,1.0,
first_word_longer_than_last,first_word_longer_than_last_deconfounded,deconfounded,gpt-4.1,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,0.0,0,"{""0"": 12, ""1"": 0, ""2"": 0}",0.0,0.0,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,0.25,"[0.08894166839405476, 0.5323053349335656]",12,1,starts_plural,False,results/deconfound-sweep/step2mc-gpt-4.1-20260614T170420Z,18,1.0,
first_word_longer_than_last,first_word_longer_than_last_deconfounded,deconfounded,gpt-4.1-mini,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,0.0,0,"{""0"": 12, ""1"": 0, ""2"": 0}",0.0,0.0,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,0.16666666666666666,"[0.04696514218385378, 0.4480308622529734]",12,1,starts_plural,False,results/deconfound-sweep/step2mc-gpt-4.1-mini-20260614T170420Z,18,1.0,
all_words_longer_than_3,all_words_longer_than_3_deconfounded,deconfounded,deepseek-v4-flash,deepseek,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,0.0,0,"{""0"": 12, ""1"": 0, ""2"": 0}",0.0,0.0,0.0,12,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,0.08333333333333333,"[0.014865094404917095, 0.35387991114111694]",12,1,cross:contains_digit,False,results/deconfound-sweep/step2mc-deepseek-v4-flash-20260614T170420Z,18,1.0,
all_words_longer_than_3,all_words_longer_than_3_deconfounded,deconfounded,gpt-4.1,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,0.0,0,"{""0"": 12, ""1"": 0, ""2"": 0}",0.0,0.0,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,0.0,"[2.7755575615628914e-17, 0.24249400665524085]",12,0,cross:contains_digit,False,results/deconfound-sweep/step2mc-gpt-4.1-20260614T170420Z,18,1.0,
all_words_longer_than_3,all_words_longer_than_3_deconfounded,deconfounded,gpt-4.1-mini,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,0.0,0,"{""0"": 12, ""1"": 0, ""2"": 0}",0.0,0.0,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,0.08333333333333333,"[0.014865094404917095, 0.35387991114111694]",12,0,cross:contains_digit,False,results/deconfound-sweep/step2mc-gpt-4.1-mini-20260614T170420Z,18,1.0,
first_two_words_alphabetical,first_two_words_alphabetical_deconfounded,deconfounded,deepseek-v4-flash,deepseek,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,0.0,0,"{""0"": 12, ""1"": 0, ""2"": 0}",0.0,0.0,0.0,12,results/deconfound-sweep/step2-freeform-deepseek-v4-flash-20260614T170925Z,0.25,"[0.08894166839405476, 0.5323053349335656]",12,1,true:first_two_words_alphabetical,True,results/deconfound-sweep/step2mc-deepseek-v4-flash-20260614T170420Z,18,1.0,
first_two_words_alphabetical,first_two_words_alphabetical_deconfounded,deconfounded,gpt-4.1,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,0.0,0,"{""0"": 12, ""1"": 0, ""2"": 0}",0.0,0.0,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-20260614T170537Z,0.0,"[2.7755575615628914e-17, 0.24249400665524085]",12,0,second_plural_noun,False,results/deconfound-sweep/step2mc-gpt-4.1-20260614T170420Z,18,1.0,
first_two_words_alphabetical,first_two_words_alphabetical_deconfounded,deconfounded,gpt-4.1-mini,openai,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,0.0,0,"{""0"": 12, ""1"": 0, ""2"": 0}",0.0,0.0,0.0,12,results/deconfound-sweep/step2-freeform-gpt-4.1-mini-20260614T170726Z,0.16666666666666666,"[0.04696514218385378, 0.4480308622529734]",12,2,starts_adj,False,results/deconfound-sweep/step2mc-gpt-4.1-mini-20260614T170420Z,18,1.0,
